"env","sim","qs","threads","span","sz","gps"
WSL,Generic,15,1,5,23.18,10010.0
WSL,AVX,15,1,5,23.18,28570.0
WSL,AVX2,15,1,5,23.18,28530.0
WSL,AVX512,15,1,5,23.18,29570.0
WSL,Generic,15,2,5,23.18,17200.0
WSL,AVX,15,2,5,23.18,48430.0
WSL,AVX2,15,2,5,23.18,48420.0
WSL,AVX512,15,2,5,23.18,48900.0
WSL,Generic,15,3,5,23.18,22770.0
WSL,AVX,15,3,5,23.18,55660.0
WSL,AVX2,15,3,5,23.18,54960.0
WSL,AVX512,15,3,5,23.18,53330.0
WSL,Generic,15,4,5,23.18,21250.0
WSL,AVX,15,4,5,23.18,52190.0
WSL,AVX2,15,4,5,23.18,53090.0
WSL,AVX512,15,4,5,23.18,51430.0
WSL,Generic,15,1,6,28.33,6300.0
WSL,AVX,15,1,6,28.33,8236.0
WSL,AVX2,15,1,6,28.33,8811.0
WSL,AVX512,15,1,6,28.33,9119.0
WSL,Generic,15,2,6,28.33,11410.0
WSL,AVX,15,2,6,28.33,14790.0
WSL,AVX2,15,2,6,28.33,14840.0
WSL,AVX512,15,2,6,28.33,15600.0
WSL,Generic,15,3,6,28.33,13750.0
WSL,AVX,15,3,6,28.33,17380.0
WSL,AVX2,15,3,6,28.33,17510.0
WSL,AVX512,15,3,6,28.33,16840.0
WSL,Generic,15,4,6,28.33,14220.0
WSL,AVX,15,4,6,28.33,17180.0
WSL,AVX2,15,4,6,28.33,16750.0
WSL,AVX512,15,4,6,28.33,17240.0
WSL,Generic,15,1,7,34.00,2187.0
WSL,AVX,15,1,7,34.00,2482.0
WSL,AVX2,15,1,7,34.00,2501.0
WSL,AVX512,15,1,7,34.00,2457.0
WSL,Generic,15,2,7,34.00,4047.0
WSL,AVX,15,2,7,34.00,4424.0
WSL,AVX2,15,2,7,34.00,4511.0
WSL,AVX512,15,2,7,34.00,4387.0
WSL,Generic,15,3,7,34.00,4777.0
WSL,AVX,15,3,7,34.00,5344.0
WSL,AVX2,15,3,7,34.00,5388.0
WSL,AVX512,15,3,7,34.00,4580.0
WSL,Generic,15,4,7,34.00,4617.0
WSL,AVX,15,4,7,34.00,5455.0
WSL,AVX2,15,4,7,34.00,5552.0
WSL,AVX512,26,4,7,34.00,5332.0
WSL,Generic,26,1,5,24.17,6.5
WSL,AVX,26,1,5,23.91,47.2
WSL,AVX2,26,1,5,23.92,47.3
WSL,AVX512,26,1,5,23.86,61.6
WSL,Generic,26,2,5,24.09,12.2
WSL,AVX,26,2,5,23.88,85.7
WSL,AVX2,26,2,5,23.88,84.4
WSL,AVX512,26,2,5,23.87,110.6
WSL,Generic,26,3,5,23.89,15.1
WSL,AVX,26,3,5,23.86,105.1
WSL,AVX2,26,3,5,23.88,104.5
WSL,AVX512,26,3,5,23.87,130.7
WSL,Generic,26,4,5,24.00,16.8
WSL,AVX,26,4,5,23.87,115.3
WSL,AVX2,26,4,5,23.87,112.8
WSL,AVX512,26,4,5,23.86,146.8
WSL,Generic,26,1,6,31.00,7.8
WSL,AVX,26,1,6,31.09,18.3
WSL,AVX2,26,1,6,31.11,20.8
WSL,AVX512,26,1,6,31.07,32.6
WSL,Generic,26,2,6,31.05,14.8
WSL,AVX,26,2,6,31.10,33.3
WSL,AVX2,26,2,6,31.04,38.3
WSL,AVX512,26,2,6,31.01,60.2
WSL,Generic,26,3,6,31.11,21.0
WSL,AVX,26,3,6,31.00,42.4
WSL,AVX2,26,3,6,31.02,50.4
WSL,AVX512,26,3,6,31.01,73.6
WSL,Generic,26,4,6,31.13,23.3
WSL,AVX,26,4,6,31.02,45.2
WSL,AVX2,26,4,6,31.04,51.4
WSL,AVX512,26,4,6,31.02,75.6
WSL,Generic,26,1,7,36.25,4.9
WSL,AVX,26,1,7,36.25,10.9
WSL,AVX2,26,1,7,36.00,12.1
WSL,AVX512,26,1,7,35.87,19.8
WSL,Generic,26,2,7,36.25,9.3
WSL,AVX,26,2,7,35.83,21.2
WSL,AVX2,26,2,7,35.93,23.0
WSL,AVX512,26,2,7,35.88,36.6
WSL,Generic,26,3,7,36.00,11.9
WSL,AVX,26,3,7,35.87,26.6
WSL,AVX2,26,3,7,35.88,30.2
WSL,AVX512,26,3,7,35.80,44.0
WSL,Generic,26,4,7,35.94,14.0
WSL,AVX,26,4,7,35.91,30.1
WSL,AVX2,26,4,7,35.90,34.7
WSL,AVX512,26,4,7,35.85,51.3
